02420,trt1,-1
00334,trt1,-1
02359,trt1,-1
02851,trt1,-1
04206,trt1,-1
05020,trt1,-1
05304,trt1,-1
05333,trt1,-1
06435,trt1,-1
06443,trt1,-1
07963,trt1,-1
08705,trt1,-1
09156,trt1,-1
09497,trt1,-1
09754,trt1,-1
12254,trt1,-1
12275,trt1,-1
12372,trt1,-1
14951,trt1,-1
16972,trt1,-1
15504,trt1,-1
15574,trt1,-1
15798,trt1,-1
16147,trt1,-1
17165,trt1,-1
17176,trt1,-1
17399,trt1,-1
18986,trt1,-1
19101,trt1,-1
20698,trt1,-1
03076,trt1,1
11212,trt1,1
11944,trt1,1
11972,trt1,1
12525,trt1,1
12877,trt1,1
13919,trt1,1
17396,trt1,1
17620,trt1,1
18136,trt1,1
