00334,trt2,-1
02851,trt2,-1
03076,trt2,-1
04206,trt2,-1
05020,trt2,-1
05304,trt2,-1
05333,trt2,-1
06435,trt2,-1
06443,trt2,-1
07963,trt2,-1
08705,trt2,-1
09156,trt2,-1
09497,trt2,-1
09754,trt2,-1
11212,trt2,-1
11944,trt2,-1
11972,trt2,-1
12525,trt2,-1
12877,trt2,-1
13919,trt2,-1
15504,trt2,-1
15798,trt2,-1
17165,trt2,-1
17176,trt2,-1
17396,trt2,-1
17399,trt2,-1
17620,trt2,-1
18136,trt2,-1
18986,trt2,-1
20698,trt2,-1
02359,trt2,1
02420,trt2,1
12254,trt2,1
12275,trt2,1
12372,trt2,1
14951,trt2,1
15574,trt2,1
16147,trt2,1
16972,trt2,1
19101,trt2,1
