02420,trt0,-1
02359,trt0,-1
02851,trt0,-1
03076,trt0,-1
04206,trt0,-1
05333,trt0,-1
08705,trt0,-1
09754,trt0,-1
11212,trt0,-1
11944,trt0,-1
11972,trt0,-1
12254,trt0,-1
12275,trt0,-1
12372,trt0,-1
12525,trt0,-1
12877,trt0,-1
13919,trt0,-1
14951,trt0,-1
16972,trt0,-1
15504,trt0,-1
15574,trt0,-1
15798,trt0,-1
16147,trt0,-1
17165,trt0,-1
17176,trt0,-1
17396,trt0,-1
17399,trt0,-1
17620,trt0,-1
18136,trt0,-1
19101,trt0,-1
00334,trt0,1
05020,trt0,1
05304,trt0,1
06435,trt0,1
06443,trt0,1
07963,trt0,1
09156,trt0,1
09497,trt0,1
18986,trt0,1
20698,trt0,1
